time (sec)	x (pixels)	y (pixels)
27.078	534.48	18.518
27.143	576.07	23.583
27.207	568.74	22.189
27.271	508.3	15.035
27.351	411.022	9.949
27.415	309.02	13.568
27.48	234.11	21.485
27.559	209.45	24.618
27.624	226.93	21.997
27.688	294.993	14.247
27.752	395.004	10.102
27.831	493.35	14.202
27.896	559.49	21.481
27.96	574.31	23.003
28.039	542.37	18.519
28.103	461.689	11.671
28.167	359.087	10.812
28.232	268.58	17.005
28.311	218.18	23.558
28.377	215.35	23.862
28.444	257.33	18.144
28.52	343.305	11.159
28.587	445.137	11.459
28.655	529.44	17.948
28.732	570.25	22.477
28.797	563.3	21.229
28.862	505.2	14.678
28.927	411.019	9.902
29.003	312.352	13.367
29.068	240.04	20.723
29.135	216.21	23.838
29.206	232.15	21.328
29.271	298.163	13.98
29.334	394.461	10.154
29.399	489.624	13.761
29.479	554.28	20.838
29.546	568.8	22.023
29.61	538.11	17.968
29.686	459.891	11.562
29.751	360.756	10.627
29.815	272.9	16.678
29.881	223.92	22.683
29.958	220.57	22.703
30.031	261.5	17.617
30.095	344.652	10.958
30.167	443.267	11.303
30.232	525.31	17.205
30.296	565.02	21.703
30.362	558.31	20.684
30.438	501.92	14.17
30.502	410.596	9.904
30.566	315.035	13.084
30.646	244.53	20.012
30.71	221.06	22.713
30.776	237.15	20.65
30.84	300.611	13.79
30.918	394.126	10.14
30.984	486.748	13.718
31.059	549.56	20.079
31.126	563.51	21.19
31.19	533.84	17.339
31.255	458.006	11.355
31.334	361.698	10.69
31.4	276.75	16.416
31.464	228.83	21.813
31.529	225.5	21.9
31.606	265.64	17.054
31.671	346.422	10.961
31.737	442.146	11.37
31.814	521.66	16.823
31.88	559.95	20.979
31.945	553.47	20.017
32.012	498.57	13.923
32.087	409.865	9.903
32.151	316.864	12.848
32.214	248.79	19.452
32.294	226.35	22.083
32.358	241.52	19.913
32.424	303.828	13.498
32.487	394.652	9.939
32.566	484.446	13.445
32.632	545.26	19.413
32.696	558.9	20.502
32.774	529.56	16.901
32.84	455.671	11.195
32.902	361.96	10.704
32.966	279.64	15.968
33.047	233.38	21.097
33.112	230.36	21.212
33.178	269.56	16.736
33.255	348.307	10.968
33.321	441.295	11.096
33.384	518.4	16.32
33.462	555.46	20.225
33.528	548.8	19.275
33.593	494.85	13.642
33.659	408.523	9.895
33.735	318.438	12.801
33.801	252.33	18.934
33.867	230.37	21.195
33.944	245.91	19.309
34.019	306.902	13.307
34.089	395.283	9.975
34.22	541.54	18.979
34.288	554.62	19.973
34.352	525.3	16.508
34.422	453.131	11.051
34.487	361.567	10.557
34.552	281.65	15.673
34.617	237.26	20.551
34.694	235.16	20.635
34.759	273.53	16.23
34.825	350.38	10.794
34.902	441.034	10.968
34.966	515.6	15.975
35.03	551.4	19.613
35.096	544.39	18.62
35.174	491.47	13.428
35.24	407.003	9.884
35.308	319.345	12.605
35.382	255.26	18.446
35.447	234.92	20.652
35.511	250.35	18.591
35.577	310.242	12.974
35.654	396.466	9.918
35.718	481.27	12.992
35.785	538.32	18.471
